Elapsed time;CPU;GPU1;GPU2
13:40:38,0;9.0;93.0;0.0
13:40:40,0;6.0;72.0;0.0
13:40:41,0;6.0;93.0;
13:40:42,0;;;0.0
13:40:43,0;15.0;92.0;0.0
13:40:44,0;21.0;;
13:40:45,0;;70.0;0.0
13:40:46,0;5.0;72.0;0.0
13:40:48,0;5.0;83.0;0.0
13:40:49,0;5.0;;
13:40:50,0;;74.0;0.0
13:40:51,0;5.0;75.0;0.0
13:40:53,0;7.0;72.0;0.0
13:40:54,0;5.0;;
13:40:55,0;;73.0;0.0
13:40:56,0;5.0;75.0;
13:40:57,0;;;0.0
13:40:58,0;8.0;72.0;0.0
13:40:59,0;6.0;94.0;
13:41:00,0;;;0.0
13:41:01,0;16.0;57.0;0.0
13:41:03,0;17.0;92.0;0.0
13:41:04,0;34.0;71.0;0.0
13:41:06,0;11.0;94.0;0.0
13:41:07,0;15.0;;
13:41:08,0;;83.0;0.0
13:41:09,0;25.0;80.0;0.0
13:41:11,0;7.0;73.0;0.0
13:41:12,0;5.0;;
13:41:13,0;;55.0;0.0
13:41:14,0;10.0;92.0;0.0
13:41:16,0;15.0;90.0;
13:41:17,0;;;0.0
13:41:18,0;36.0;;
13:41:20,0;;89.0;
13:41:22,0;;;0.0
13:41:23,0;9.0;;
13:41:24,0;;76.0;0.0
13:41:25,0;10.0;;
13:41:26,0;;95.0;
13:41:27,0;;;0.0
13:41:28,0;15.0;;
13:41:29,0;;66.0;
13:41:31,0;;;0.0
13:41:32,0;11.0;;
13:41:49,0;;81.0;
13:42:26,0;;;0.0
13:42:27,0;7.0;;
13:42:36,0;;70.0;
13:42:41,0;;;0.0
13:42:42,0;8.0;;
13:42:48,0;;72.0;
13:42:55,0;;;0.0
13:42:56,0;7.0;;
13:43:00,0;;74.0;
13:43:04,0;;;0.0
13:43:05,0;7.0;;
13:43:10,0;;74.0;
13:43:11,0;;;0.0
13:43:12,0;11.0;;
13:43:14,0;;74.0;
13:43:15,0;;;0.0
13:43:16,0;10.0;;
13:43:19,0;;73.0;
13:43:22,0;;;0.0
13:43:23,0;11.0;;
13:43:26,0;;81.0;
13:43:28,0;;;0.0
13:43:29,0;10.0;;
13:43:32,0;;75.0;
13:43:33,0;;;0.0
13:43:34,0;9.0;;
13:43:37,0;;66.0;
13:43:38,0;;;0.0
13:43:39,0;9.0;;
13:43:40,0;;73.0;
13:43:41,0;;;0.0
13:43:42,0;10.0;;
13:43:43,0;;68.0;
13:43:44,0;;;0.0
13:43:45,0;10.0;;
13:43:46,0;;70.0;
13:43:48,0;;;0.0
13:43:49,0;9.0;;
13:43:50,0;;71.0;
13:43:51,0;;;0.0
13:43:52,0;10.0;;
13:43:53,0;;71.0;
13:43:55,0;;;0.0
13:43:56,0;9.0;;
13:43:57,0;;74.0;
13:43:58,0;;;0.0
13:44:00,0;10.0;;
13:44:02,0;;92.0;
13:44:03,0;;;0.0
13:44:04,0;9.0;;
13:44:05,0;;72.0;
13:44:06,0;;;0.0
13:44:07,0;9.0;;
13:44:09,0;;32.0;
13:44:10,0;;;0.0
13:44:12,0;8.0;72.0;
13:44:13,0;;;0.0
13:44:14,0;10.0;;
13:44:15,0;;71.0;0.0
13:44:17,0;9.0;72.0;
13:44:18,0;;;0.0
13:44:19,0;9.0;;
13:44:20,0;;74.0;
13:44:21,0;;;0.0
13:44:22,0;9.0;;
13:44:23,0;;74.0;0.0
13:44:25,0;10.0;73.0;
13:44:26,0;;;0.0
13:44:27,0;9.0;78.0;
13:44:28,0;;;0.0
13:44:29,0;8.0;;
13:44:30,0;;73.0;
13:44:31,0;;;0.0
13:44:32,0;9.0;;
13:44:33,0;;73.0;0.0
13:44:35,0;8.0;74.0;0.0
13:44:37,0;8.0;67.0;
13:44:38,0;;;0.0
13:44:39,0;9.0;;
13:44:40,0;;67.0;0.0
13:44:41,0;10.0;;
13:44:42,0;;70.0;0.0
13:44:44,0;8.0;70.0;
13:44:45,0;;;0.0
